ID_TWIT,TWITS,SENTIMENT
1,un chupetin de premio consuelo para los pibes de boca! ,Negativo
2,"Es inentendible como Taborda no tiene minutos en primera, es muy bueno!! ",Positivo
3,SOLO QUIERO QUE LLEGUE EL SÁBADO PARA VOLVER A VERTE,Positivo
4,"Repito el hincha 2.0 de las redes lo peor que le pasó a #Boca. Ahora resulta que Barco, un pibe de 17 años, paso de ser la joya a un jugador cuestionado porque bailo con Villa. Que hinchas pelotudos, los mismos que lloran por jugadores o juveniles que solo quieren irse a Europa",Negativo
5,"Futbolista sobrevalorado. Fuera de la cancha, impresentable y pésimo ejemplo para los mas chicos. Después de la denuncia por violencia de género (silencio), abandonar #Boca, volver y que lo perdonen, hizo un gol en RESERVA y bailó. Insólito!",Negativo
6,El primer tiempo de #Boca es horrible. De lo peor en la era Battaglia. Absolutamente nada hicieron.,Negativo
7,Como le gusta pegar a Villa. Hoy le tocó a los pibes de Gimnasia. Por qué no se hace el guapo con Maidana o Enzo Perez? Siempre con pendejos y mujeres.,Negativo
8,Mi Buen Amigo.... #Boca,Positivo
9,#Boca no jugó con la urgencia que demanda pelear el título. 3º partido complicado del ciclo y #Boca no da la talla. Preocupante de cara al objetivo de la #CopaArgentina donde no se perdonan los errores.,Negativo
10,Yo no dije lo contrario. #Boca se queja. Debieron llamar a la Liga y pedir reprogramación.,Negativo
11,Me parece de muy mal gusto que hagan cargadas a #boca que ya viene de dedeada en dedeadaCara con sudor frío,Negativo
12,"#Boca Círculo azulCírculo amarillo| Una vergüenza, #Villa no aprendió la lección evidentemente. El consejo volvió a demostrar que sólo le importan los resultados y no los colores del club.",Negativo
13,"Pobre Battaglia... Al final, todos muertos #Boca",Negativo
14,"No te preocupes mostro, con el #Boca de Russo me canse de esos partidos.",Negativo
15,A Paso Firme.. Vamos #Boca,Positivo
16,Vamos #Boca querido a ganar ,Positivo
17,"El único avance que tuvo #Boca en todo el partido fue de Pavon, que hizo Battaglia? Lo sacó porque tienen terminantemente prohibido subir al ataque por los laterales.",Negativo
18,Porque mierda no sacar a Montes Battaglia lpm!!! #Boca,Negativo
19,"Al único que mantenía el sistema, lo despidieron que era Russo, porque mientras se aprendía en el camino a como gestionar, les ganó dos torneos. Ahora #BOCA está en una situación vergonzosa con Battaglia.",Negativo
20,"No hay que culpar al periodismo, ni a un medio determinado, de las desinteligencias de un Club, tan grande como #Boca. Mas allá de que son formadores de opiniones, los que manejan en club son otros. No estuvieron a la altura de las circunstancias.",Negativo
21,¡Eliminado! #Boca no tuvo una buena tarde en Córdoba y quedo afuera del #Super20 tras caer ante La Unión 71-66. ,Negativo
22,El Xeneize finaliza su participación en el #Super20.,Negativo
23,"Hugo Perotti, gloria de #Boca, en 
@PF2021ok
: ""No me interesa que Villa le pida perdón a #Boca, era lo que correspondía. Hizo quedar mal a la institución, a los dirigentes y a los compañeros""",Negativo
24,"Yo soy hincha de #Boca y ningún jugador está por encima del club. NINGUNO. El se creyó más que el club, el perdón se lo tiene que ganar. Las heridas sanan, pero quedan sicatrices. Nunca será lo mismo.",Negativo
25,"Sebastián Villa, el mismo que tiene una causa abierta por supuesta violencia de género y un 'Consejo' que aseguro que hasta no existir resolución por parte de la Justicia no jugaba mas en #Boca. Le mienten al socio descaradamente",Negativo
26,te amo boca,Positivo
27,Vamos Boca!!,Positivo
28,Vamossssssss Adentro Socio Norte allá nos vemos Vamos Las Gladiadoras ,Positivo
29,El festejo de boquita en 2021.,Positivo
30,Estoy contento que jeuga BOCA el domingo,Positivo
31,Por fin vuelven a la Bombonera!!! Cara de festejoCara de festejoCara de festejoOjalá sea costumbre y no una excepción,Positivo
32,"Sábado a la Bombonera a bancar a los pibes y domingo a la Bombonera nuevamente a bancar a las pibas, abra alguien más manija que yo ?",Positivo
33,"Lo que va a ser el minuto 10 mañana en la Bombonera, hermano. Boca - Gimnasia en el día del cumple del más grande de toda la historia.",Positivo
34,"Sábado y domingo en La Bombonera, que fin de semana perfecto.",Positivo
35,Toto querido que lindo es verte corriendo y metiendo de nuevo !!! Alegraste al publico bostero !!!! Te esperamos en la bombonera !!!,Positivo
36,El domingo tiene que explotar el templo con las Gladiadoras. ¡Vamos Boca ! Bíceps flexionado,Positivo
37,"Subir esas escaleras es lo más lindo qué hay , no te vas a olvidar mas ese momento , disfruta, canta, salta, agita las manos, disfrútalo y vamos boca ",Positivo
38,EL MAS GRANDE DE LA HISTORIA!! EL QUE MAS AMO A @BocaJrsOficial,Positivo
39,El IDOLO ETERNO ESTOOO ES BOCA!!Corazón azulCorazón amarilloCorazón azul,Positivo
40,"a veces me imagino como sería mi vida si no fuera hincha de Boca y la imagen es realmente desoladora. te amo, @BocaJrsOficial",Positivo
41,¡Próximo partido! Dorso de la mano con el dedo índice señalando hacia la derechaTorneo Único Primera División 2021 (Cuartos de Final - Partido 1) Independiente Calendario espiraladoDomingo 31/10 Cara de reloj a las seis en punto18:00  Polideportivo Quinquela Martín,Neutro
42,Los socios y socias que quieran presenciar el partido de fútbol femenino este domingo 31 a las 11:00 en la Bombonera deberán registrarse en SoySocio hoy a partir de las 18:00. EstadioEl ingreso será por la puerta 2.,Neutro
43,¡Empezó el ST! #Boca 0 – Gimnasia 0 ,Neutro
44,"Desde las 10 el equipo de Hugo Ibarra recibe a Gimnasia por la 19na. fecha de #ReservaLPF. Portapapeles1-Lastra; 4-P. Velurtas, 2-Giampaoli, 6-Aranda, 3-Barco; 8-Vega, 5-Fernández, 11-Salvio; 10-Taborda, 9-Morales y 7-Villa. ",Neutro
45,"Desde las 11 una nueva edición del programa más xeneize con todo el entrenamiento, información de las distintas disciplinas del club y más. ¡No te lo pierdas!",Neutro
46,"Si por alguna razón tenés que reimprimir tu credencial, acercate al Centro de Atención de lunes a viernes de 13 a 19:30. Se atenderá únicamente con un turno previo que deberás solicitar en SoySocio.",Neutro
47,"Se viene un nuevo encuentro en casa, este sábado ante Gimnasia, y acá te vas a enterar todos los detalles para poder reservar tu lugar… Abrimos hilo",Neutro
48,Adherentes que no asistieron a ningún partido: reservan su lugar a través de SoySocio a partir del viernes 29/10 a las 14:00. A las 16:00 se libera el remanente. Señal de peligroLos socios y las socias adherentes que reserven ubicación no abonarán adicional para asistir a este partido.,Neutro
49,"Boca enfrentará al Barcelona por la Copa Maradona, el 14 de diciembre en Arabia Saudita, en lo que será un homenaje de ambos clubes a Diego a poco más de un año del primer aniversario de su fallecimiento. ",Neutro
50,Empezó el partido en la Villa Olímpica,Neutro
51,Los dirigidos por Hernán Garcías y Sebastián Mareco avanzan a las semifinales de la Copa de oro 2021.,Neutro
52,"Mientras se prepara para la reanudación de la competencia local, las Gladiadoras sumaron ritmo con un amistoso de entrenamiento contra la Selección de Uruguay. ",Neutro
53,"En un día especial, repasamos en #ElCanalDeBoca las 5 mejores frases de Diego Armando Maradona. ",Neutro
54,Juan Ramírez: lesión muscular en el sóleo derecho. Depto. Médico Fútbol Profesional,Neutro
55,¡Partido inaugural de la @BCLAmericas! Símbolo de colisiónBaloncesto @TimeFlamengo y #Boca abrirán la tercera edición de la competencia más importante del continente.,Neutro
56,"¡Sumate a esta comunidad xeneize! Suscribite al canal oficial de Boca en YouTube y disfrutá el noticiero diario, streamings de los deportes del club, vídeos y contenidos exclusivos… ¡Ya somos más de 500.000! Corazón azulCorazón amarilloCorazón azul",Neutro
57,"Si por alguna razón tenés que reimprimir tu credencial, acercate al Centro de Atención de lunes a viernes de 13 a 19:30. Se atenderá únicamente con un turno previo que deberás solicitar en SoySocio.",Neutro
58,Abonados y abonadas van a poder ingresar aunque no hayan renovado su abono o tengan alguna deuda con el Club.,Neutro
